substance,indicator,age_group,percentage,sample_count,total_surveyed
Cannabis,Frequency of cannabis use in past 12 months,55+,18.5,491,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,5.71,149,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,8.24,210,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,9.41,218,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,11.68,303,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,6.09,159,2531.0
Cannabis,Frequency of cannabis use in past 12 months,55+,40.37,1001,2531.0
Cannabis,Number of days using cannabis in past 30 days,15-19,12.08,79,677.0
Cannabis,Number of days using cannabis in past 30 days,15-19,16.63,138,677.0
Cannabis,Number of days using cannabis in past 30 days,15-19,23.44,142,677.0
Cannabis,Number of days using cannabis in past 30 days,15-19,12.38,79,677.0
Cannabis,Number of days using cannabis in past 30 days,15-19,35.48,239,677.0
Cannabis,Number of days using cannabis in past 30 days,20-24,13.03,190,1396.0
Cannabis,Number of days using cannabis in past 30 days,20-24,17.63,251,1396.0
Cannabis,Number of days using cannabis in past 30 days,20-24,20.05,284,1396.0
Cannabis,Number of days using cannabis in past 30 days,20-24,14.32,187,1396.0
Cannabis,Number of days using cannabis in past 30 days,20-24,34.97,484,1396.0
Cannabis,Number of days using cannabis in past 30 days,25-54,15.73,579,3938.0
Cannabis,Number of days using cannabis in past 30 days,25-54,16.84,671,3938.0
Cannabis,Number of days using cannabis in past 30 days,25-54,21.06,816,3938.0
Cannabis,Number of days using cannabis in past 30 days,25-54,12.63,482,3938.0
Cannabis,Number of days using cannabis in past 30 days,25-54,33.74,1390,3938.0
Cannabis,Number of days using cannabis in past 30 days,55+,14.5,200,1506.0
Cannabis,Number of days using cannabis in past 30 days,55+,14.54,234,1506.0
Cannabis,Number of days using cannabis in past 30 days,55+,22.66,320,1506.0
Cannabis,Number of days using cannabis in past 30 days,55+,13.55,198,1506.0
Cannabis,Number of days using cannabis in past 30 days,55+,34.75,554,1506.0
Cannabis,Amount of cannabis used compared to previous year,15-19,54.02,560,1087.0
Cannabis,Amount of cannabis used compared to previous year,15-19,28.34,332,1087.0
Cannabis,Amount of cannabis used compared to previous year,15-19,17.64,195,1087.0
Cannabis,Amount of cannabis used compared to previous year,20-24,30.7,700,2290.0
Cannabis,Amount of cannabis used compared to previous year,20-24,40.01,921,2290.0
Cannabis,Amount of cannabis used compared to previous year,20-24,29.29,669,2290.0
Cannabis,Amount of cannabis used compared to previous year,25-54,21.2,1356,6313.0
Cannabis,Amount of cannabis used compared to previous year,25-54,34.74,2081,6313.0
Cannabis,Amount of cannabis used compared to previous year,25-54,44.06,2876,6313.0
Cannabis,Amount of cannabis used compared to previous year,55+,15.21,398,2506.0
Cannabis,Amount of cannabis used compared to previous year,55+,33.83,777,2506.0
Cannabis,Amount of cannabis used compared to previous year,55+,50.96,1331,2506.0
Cannabis,ASSIST risk level,15-19,1.31,39,2492.0
Cannabis,ASSIST risk level,15-19,20.18,532,2492.0
Cannabis,ASSIST risk level,15-19,21.6,531,2492.0
Cannabis,ASSIST risk level,20-24,1.48,56,4442.0
Cannabis,ASSIST risk level,20-24,26.08,1176,4442.0
Cannabis,ASSIST risk level,20-24,24.84,1073,4442.0
Cannabis,ASSIST risk level,25-54,0.26,39,16757.0
Cannabis,ASSIST risk level,25-54,22.83,3819,16757.0
Cannabis,ASSIST risk level,25-54,15.44,2507,16757.0
Cannabis,ASSIST risk level,55+,0.01,1,12210.0
