question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Black,Noir,,,72.8,,70.4,75.0,994,1414,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,East Asian,Asiatique de l’Est,,,76.0,,73.3,78.5,839,1123,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Indigenous,Autochtone,,,91.8,,88.7,94.1,1037,1115,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Latin American,Latino-Américain,,,85.3,,80.1,89.4,526,608,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Middle Eastern,Moyen-Orient,,,60.0,,55.0,64.8,462,795,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,South Asian,Asiatique du Sud,,,61.1,,57.0,65.0,772,1304,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Southeast Asian,Asiatique du Sud-Est,,,74.1,,69.0,78.5,556,774,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,White,Blanc,,,95.5,^,95.3,95.8,25741,26964,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Race,La race,Other,Autre,,,88.1,,86.2,89.8,1047,1196,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q01 * DEM_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Size of city or town of residence,Population de la ville ou du village de résidence,"Rural area (less than 1,000 people)",Zone rurale (moins de 1 000 habitants),,,91.8,,90.4,93.0,3601,3876,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q05,1
