question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated physical health,Santé physique auto-évaluée,Good,Bonne,,,32.69810862,,31.76632607,33.64374637,3952,11818,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q01d,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated physical health,Santé physique auto-évaluée,Poor or fair,Mauvaise ou passable,,,44.36989214,,42.19610172,46.56545525,2005,4584,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q01d,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated mental health,Santé mentale auto-évaluée,Very good or excellent,Très bien ou excellente,,,26.2303158,,25.46282116,27.01256037,4839,18299,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q02d,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated mental health,Santé mentale auto-évaluée,Good,Bonne,,,32.81734349,,31.91714496,33.73035273,3513,10476,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q02d,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated mental health,Santé mentale auto-évaluée,Poor or fair,Mauvaise ou passable,,,38.18338635,,36.70385617,39.68516361,2672,7138,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q02d,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Disability status,Le statut d’handicap,Lives with disability,Vit avec un handicap,,,47.08201107,,45.54326304,48.6263253,2492,5339,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q03,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Disability status,Le statut d’handicap,Does not live with a disability,Ne vit pas avec un handicap,,,27.31755696,,26.72671082,27.91648848,8350,30093,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q03,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Race,La race,Black,Noir,,,14.97954555,,12.50238889,17.84739931,204,1418,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table PR_Q01 * DEM_Q03,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Race,La race,East Asian,Asiatique de l’Est,,,13.49079357,v,11.1938034,16.1732894,157,1122,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table PR_Q01 * DEM_Q03,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Race,La race,Indigenous,Autochtone,,,38.36900997,,34.11079667,42.81339156,437,1115,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table PR_Q01 * DEM_Q03,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Race,La race,Latin American,Latino-Américain,,,16.79355953,,13.78161543,20.30870636,102,609,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,"Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table PR_Q01 * DEM_Q03,1
